399297801,5
399344900,5
399350800,5
399356501,5
463652101,5
469063600,5
469122900,5
469849700,5
469868501,5
485452901,5
59295501,3
69219401,1
91922901,3
353013801,1
115567001,2
119560401,3
450624100,3
152653101,3
165295401,3
257672101,3
167557601,3
167618401,3
355271501,3
355287601,3
386285001,3
386332901,3
386351701,3
167480901,3
371760701,3
371831701,3
372095101,3
372882500,3
381862201,3
382291501,3
385400601,3
409581901,3
412800401,3
436964001,3
440777101,3
440832200,3
167787501,1
203650101,3
199694801,3
235383500,3
235755401,3
235755401,3
235755401,3
235755401,3
235755401,3
235903600,3
235948600,3
253785301,3
268321901,3
343444601,3
264995201,3
352237701,3
427382401,3
294122001,3
294328201,3
470325601,3
480851801,3
508899501,3
278759001,3
314257100,3
390797500,3
393744400,3
416588601,3
279900501,3
286739901,3
290058301,3
290060001,3
282746601,3
293878801,3
293938801,3
306567701,3
294897801,3
303785601,3
350634801,3
351586300,3
459071701,4
459918500,4
526206001,4
526226401,4
526248201,4
357275501,1
377355700,1
491353501,5
508105201,5
507716400,5
508146901,5
396203301,3
397285900,3
399717401,3
431744801,4
436849501,4
501371201,4
396330901,4
401884900,4
396894401,3
398553501,4
533916300,5
402407201,3
440306701,4
446977101,4
508823701,4
498509601,2
504723801,4
519502801,4
523929501,4
523901301,4
526058501,3
44701000,2
46769000,2
71827901,3
80509201,3
78704201,3
81905501,3
119674501,3
122083001,3
124466701,1
131667501,1
131794600,1
209337801,1
162081201,3
210838501,1
209337801,1
228358401,4
219101801,5
249430201,5
252451001,5
258822500,1
258976900,2
259002100,1
257628801,4
257438601,3
270566101,1
289687601,5
305660801,5
81905501,3
395825100,3
341216400,5
353489101,3
357143801,3
362955601,3
362975500,3
362990301,3
370351001,3
367745301,5
377894801,3
385886901,3
389398601,3
384447101,1
395825100,1
341216400,1
387047101,1
403714200,1
400127001,4
404209600,4
404223700,4
404239201,4
404327401,4
404014101,5
404173701,5
404212701,5
416194501,5
420285301,1
430516601,5
432161901,3
422565601,1
419262801,4
459851901,3
474239500,4
474613100,4
479307600,4
479494600,4
485704101,4
488925401,4
511527701,4
518849501,4
518501800,4
518401100,4
519445300,4
519437200,4
528107101,4
529456101,4
78698301,4
287611401,4
